target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Jupiter,planet,rv2_coarse,4,1.31,467,4204,1909525.2629817987,2116660.700032707,207135.4370509081,0.9239455279307561,0.3555146773351381,8
Jupiter,planet,rv2_coarse,5,2.2,559,4298,1154975.866167263,2931432.2669991856,1776456.4008319227,6.541804468349899,6.07809358399436e-11,8
Jupiter,planet,rv2_coarse,6,3.93,477,4171,1398331.403957023,1628698.1238012468,230366.7198442237,0.9363223059118533,0.3491072668534372,8
Jupiter,planet,rv2_coarse,7,4.7,496,4236,2923466.9054939514,2200304.629895377,-723162.2755985744,-0.2535963301482338,0.7998074320907178,8
Jupiter,planet,rv2_coarse,8,6.55,483,4053,2705484.90701831,176119263.10203475,173413778.19501644,1.0220335322066736,0.3067650300073006,8
Jupiter,planet,rv2_coarse,9,9.18,565,4545,4207010.806118639,374314288.7758036,370107277.96968496,2.5186802213173576,0.011779558357827291,8
Saturn,planet,rv2_coarse,1,0.45,943,4151,2912558437.9013786,1708471041.6185708,-1204087396.2828078,-0.7306849745514253,0.4649715953009781,8
Saturn,planet,rv2_coarse,2,0.7,837,3876,13949432.575866189,365214150.2830351,351264717.70716894,1.2706666372589988,0.20384726934951392,8
Saturn,planet,rv2_coarse,3,0.9,895,3832,2093525.733519553,12373142.709127087,10279616.975607535,1.1227784964654026,0.2615315802446614,8
Saturn,planet,rv2_coarse,4,1.31,900,3771,2759024.2763888887,1937700.353221957,-821323.9231669316,-0.8338779036352497,0.40434978993077997,8
Saturn,planet,rv2_coarse,5,2.2,935,3922,4247216.047994653,2364553.8979793475,-1882662.1500153053,-1.562018689493856,0.11828358609033174,8
Saturn,planet,rv2_coarse,6,3.93,898,3750,1869234.3919821826,1541795.0586833332,-327439.3332988494,-1.1372264735839104,0.2554436226167722,8
Saturn,planet,rv2_coarse,7,4.7,914,3818,2948801.2754915934,2115066.9543118123,-833734.3211797811,-0.28484774795944934,0.7757607892595981,8
Saturn,planet,rv2_coarse,8,6.55,887,3649,11407633.1492302,193203494.64490807,181795861.49567786,0.9636873585086608,0.3352026941012789,8
Saturn,planet,rv2_coarse,9,9.18,924,4186,641300878.7923347,265426037.16850626,-375874841.6238284,-0.8372181683801192,0.40246994683143544,8
Uranus,planet,rv2_coarse,1,0.45,144,4950,3720626037.687934,1879320353.7924495,-1841305683.8954844,-0.6155739606138098,0.538175741582192,8
Uranus,planet,rv2_coarse,2,0.7,99,4614,15394105.08080808,308999069.17209446,293604964.09128636,1.2641819837222992,0.20616471579480944,8
Uranus,planet,rv2_coarse,3,0.9,100,4627,16023817.245625,10305858.367908472,-5717958.877716528,-0.4861052696999539,0.6268925308577136,8
Uranus,planet,rv2_coarse,4,1.31,96,4575,3822508.5201822915,2059722.199521858,-1762786.3206604335,-1.7253377279409792,0.08446662655038595,8
Uranus,planet,rv2_coarse,5,2.2,83,4774,5307605.203313253,2682110.632776498,-2625494.570536755,-6.834211236969631,8.245848448495963e-12,8
Uranus,planet,rv2_coarse,6,3.93,77,4571,794137.4034090909,1618716.9927805732,824579.5893714823,3.4061479526867378,0.0006588646309941826,8
Uranus,planet,rv2_coarse,7,4.7,70,4662,465789.80625,2303287.15378042,1837497.34753042,1.438470756507167,0.15030052908763958,8
Uranus,planet,rv2_coarse,8,6.55,89,4447,6817419.054073034,160672671.9736506,153855252.91957757,0.9945535808870968,0.3199534334789844,8
Uranus,planet,rv2_coarse,9,9.18,95,5015,13072778.709210526,339460316.9719062,326387538.26269567,2.444387670609256,0.014509825726751746,8
Neptune,planet,rv2_coarse,1,0.45,1249,3845,2337407561.8883605,1799475645.227861,-537931916.6604996,-0.5789923275300465,0.5625943501911934,8
Neptune,planet,rv2_coarse,2,0.7,1213,3500,257069324.93652102,318691608.6900126,61622283.75349155,0.16112856329242353,0.8719921439155587,8
Neptune,planet,rv2_coarse,3,0.9,1219,3508,2310268.179450369,13247255.268564709,10936987.08911434,1.0935507592439708,0.27415205536700205,8
Neptune,planet,rv2_coarse,4,1.31,1189,3482,2602737.1192703955,1922899.3239338023,-679837.7953365932,-0.9068086317332167,0.3645080045004574,8
Neptune,planet,rv2_coarse,5,2.2,1245,3612,2412046.0988453818,2835528.792825997,423482.6939806151,1.1884175083073436,0.2346689619172091,8
Neptune,planet,rv2_coarse,6,3.93,1236,3412,1865542.5530946602,1510695.5915701934,-354846.96152446675,-1.3494409799624576,0.1771953655322802,8
Neptune,planet,rv2_coarse,7,4.7,1207,3525,2320457.5313685304,2260918.5126241134,-59539.018744417,-0.024011511819369495,0.9808434262511947,8
Neptune,planet,rv2_coarse,8,6.55,1160,3376,18431319.85560345,205491051.9935239,187059732.13792044,0.9171831357176415,0.35904668240193915,8
Neptune,planet,rv2_coarse,9,9.18,1326,3784,249938584.0154571,362636585.93736476,112698001.92190766,0.4109474911585422,0.6811110378690781,8
Earth,earth,rv2_coarse,1,0.45,790,4304,1355528005.4588609,2037067559.5695138,681539554.1106529,0.7443962876800438,0.4566367642039837,8
Earth,earth,rv2_coarse,2,0.7,787,3926,10254389.848792884,361481282.92206925,351226893.07327634,1.2869572345285656,0.1981091944207587,8
Earth,earth,rv2_coarse,3,0.9,788,3939,3543936.7374682743,11803748.729055598,8259811.991587324,0.9201421667929439,0.35749847161628834,8
Earth,earth,rv2_coarse,4,1.31,719,3952,1959728.8292767734,2120735.033527328,161006.2042505548,0.6006930022286212,0.5480444807580123,8
Earth,earth,rv2_coarse,5,2.2,775,4082,2256434.1672580647,2816313.3055181284,559879.1382600637,1.7686683411375388,0.07694923852237512,8
Earth,earth,rv2_coarse,6,3.93,705,3943,1404753.5515070923,1640870.5808394623,236117.02933237003,1.3533752449571417,0.17593578177519342,8
Earth,earth,rv2_coarse,7,4.7,745,3987,354113.2545302013,2635243.4468865856,2281130.1923563844,1.5275139627077927,0.12663325789667867,8
Earth,earth,rv2_coarse,8,6.55,744,3792,1973831.0342846941,188198732.13953823,186224901.10525355,1.0268772243268403,0.3044782801128769,8
Earth,earth,rv2_coarse,9,9.18,809,4301,722422361.407771,260217557.1291787,-462204804.2785923,-0.9757979151302032,0.3291646181348764,8
Fornax-A,fixed,rv2_coarse,1,0.45,1256,3838,712881704.3854996,2330126753.515242,1617245049.1297426,2.4180914717357727,0.015602154170734295,9
Fornax-A,fixed,rv2_coarse,2,0.7,1105,3608,13468721.43442891,391453099.8830377,377984378.44860876,1.2727827324791705,0.20309515022811508,9
Fornax-A,fixed,rv2_coarse,3,0.9,1161,3566,32352549.17409561,3288356.366166573,-29064192.807929035,-0.9647738700022801,0.334658086420655,9
Fornax-A,fixed,rv2_coarse,4,1.31,1094,3577,1728326.7613117,2208387.029319262,480060.26800756203,1.8516074846026533,0.06408220749759175,9
Fornax-A,fixed,rv2_coarse,5,2.2,1175,3682,2295760.484680851,2864586.861284628,568826.376603777,1.6586457721232026,0.09718719262592579,9
