frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
4,1.31,134,1.646671987781717,0.14225079375339206,Random-280,rv2_coarse,random
5,2.2,138,6.633838675901954,0.5647098496861508,Random-280,rv2_coarse,random
6,3.93,140,1.4335951647993983,0.12116090530884403,Random-280,rv2_coarse,random
7,4.7,137,1.0901774526421726,0.09314014549349917,Random-280,rv2_coarse,random
8,6.55,137,1.8107664779848158,0.15470422068031361,Random-280,rv2_coarse,random
9,9.18,130,0.5691232759239081,0.049915413312335066,Random-280,rv2_coarse,random
1,0.45,166,-0.6910741150041297,-0.0536377537662494,Random-281,rv2_coarse,random
2,0.7,169,-4.6537077263115965,-0.35797751740858436,Random-281,rv2_coarse,random
3,0.9,170,-6.058424466632423,-0.46465994534833727,Random-281,rv2_coarse,random
4,1.31,171,-7.79728331105785,-0.5962731576676735,Random-281,rv2_coarse,random
5,2.2,171,-9.32518146817736,-0.7131144499993572,Random-281,rv2_coarse,random
6,3.93,171,-6.028584689273047,-0.4610173935634696,Random-281,rv2_coarse,random
7,4.7,170,-2.4346631022965823,-0.18673013591000026,Random-281,rv2_coarse,random
8,6.55,169,4.013257673209325,0.30871212870840964,Random-281,rv2_coarse,random
9,9.18,165,0.8916360312851265,0.06941377089318417,Random-281,rv2_coarse,random
1,0.45,146,-2.821937505479887,-0.23354520968030315,Random-282,rv2_coarse,random
2,0.7,146,-12.367139357461474,-1.0235117357401222,Random-282,rv2_coarse,random
3,0.9,150,-6.033280957791958,-0.492615327381349,Random-282,rv2_coarse,random
4,1.31,151,-6.897784810622306,-0.561333766997144,Random-282,rv2_coarse,random
5,2.2,149,-0.8655284939332151,-0.07090685703488604,Random-282,rv2_coarse,random
6,3.93,151,1.6366003779973102,0.1331846499234728,Random-282,rv2_coarse,random
7,4.7,150,0.12632387618458513,0.010314301299425116,Random-282,rv2_coarse,random
8,6.55,150,0.573418420168641,0.04681941795086735,Random-282,rv2_coarse,random
9,9.18,148,0.4666868805340426,0.03836142527424643,Random-282,rv2_coarse,random
1,0.45,111,1.5077555027298393,0.14310981910558557,Random-283,rv2_coarse,random
2,0.7,110,-1.5514885888605336,-0.14792863271199547,Random-283,rv2_coarse,random
3,0.9,111,-1.94692323958201,-0.18479377599656227,Random-283,rv2_coarse,random
4,1.31,112,3.7639780135595142,0.35566249157833496,Random-283,rv2_coarse,random
5,2.2,114,9.772161248799208,0.9152467574113786,Random-283,rv2_coarse,random
6,3.93,113,2.2177159926576366,0.20862517144410833,Random-283,rv2_coarse,random
7,4.7,113,4.196214096148955,0.3947466168452737,Random-283,rv2_coarse,random
8,6.55,109,1.8701857759801932,0.1791313094480545,Random-283,rv2_coarse,random
9,9.18,108,0.25601881401467874,0.024635421864830587,Random-283,rv2_coarse,random
1,0.45,126,7.997578753595767,0.7124809433261413,Random-284,rv2_coarse,random
2,0.7,123,0.013237774907565666,0.0011936099664714437,Random-284,rv2_coarse,random
3,0.9,124,0.34242390353101965,0.030750574307438005,Random-284,rv2_coarse,random
4,1.31,125,0.4800542633787067,0.04293735863213505,Random-284,rv2_coarse,random
5,2.2,128,2.2050610257468404,0.1949017005294694,Random-284,rv2_coarse,random
6,3.93,127,-0.5829277286092097,-0.0517264714500532,Random-284,rv2_coarse,random
7,4.7,127,-0.5636015486433432,-0.0500115502905673,Random-284,rv2_coarse,random
8,6.55,127,-2.175508707137943,-0.19304518125702877,Random-284,rv2_coarse,random
9,9.18,125,0.6456062071013746,0.057744774630979254,Random-284,rv2_coarse,random
1,0.45,142,-6.590704356586189,-0.5530796234091904,Random-285,rv2_coarse,random
2,0.7,140,-4.445557807128492,-0.3757182095336219,Random-285,rv2_coarse,random
3,0.9,139,1.62705818901137,0.13800527438645857,Random-285,rv2_coarse,random
4,1.31,141,2.1455302751086673,0.1806862442889141,Random-285,rv2_coarse,random
5,2.2,143,3.077859827703557,0.25738356888389,Random-285,rv2_coarse,random
