target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-373,random,rv2_coarse,371960,4720190,433711950.238054,509998815.43832505,76286865.20027107,2.2457508846347594,0.02471996887843253
Random-374,random,rv2_coarse,721669,4370481,477169465.49832267,508927139.7490722,31757674.25074953,1.149188338433564,0.25047832841516726
Random-375,random,rv2_coarse,583,5091567,220210521.62081903,504458926.47985756,284248404.85903853,1.9457130900146982,0.051689213367528186
Random-376,random,rv2_coarse,1123293,3968857,506738821.13302207,503771900.8388055,-2966920.2942165732,-0.12816292597267331,0.8980200388463733
Random-377,random,rv2_coarse,970241,4121909,475787047.96517974,511167690.61364305,35380642.64846331,1.4474243349473634,0.1477781142033603
Random-378,random,rv2_coarse,20551,5071599,36822200.191715695,506321196.2574791,469498996.06576335,14.484580036108403,0.0
Random-379,random,rv2_coarse,469804,4622346,548645646.4930607,499932044.5395796,-48713601.95348114,-1.4270901252507133,0.15355391844185196
Random-380,random,rv2_coarse,622858,4469292,421869089.8182575,515931889.9074739,94062800.08921641,3.3375533695591915,0.0008451948836825096
Random-381,random,rv2_coarse,24213,5067937,31693496.538019832,506684951.09996414,474991454.5619443,16.95133605829519,0.0
Random-382,random,rv2_coarse,868662,4223488,665041935.0868274,471391927.2975278,-193650007.7892996,-6.476284948836462,9.400835665474006e-11
Random-383,random,rv2_coarse,1177,5090973,544439825.5149845,504417132.0452383,-40022693.46974617,-0.07468458376883406,0.9404656737840444
Random-384,random,rv2_coarse,1161415,3930735,583532040.8911513,481053019.44363546,-102479021.44751585,-4.094543255384681,4.23001439948667e-05
Random-385,random,rv2_coarse,804763,4287387,448365070.2343691,514949358.81397057,66584288.57960147,2.5851167938214883,0.009734601611592453
Random-386,random,rv2_coarse,537,5091613,237986868.7426676,504454483.61960334,266467614.87693575,1.6809409521791654,0.09277438445474306
Random-387,random,rv2_coarse,1271626,3820524,485997178.4408809,510560372.7714605,24563194.33057958,1.091936111177833,0.27486118394199344
