frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
2,0.7,2064,-3.6309250583626356,-0.07992128146089503,Random-017,rv2_coarse,random
3,0.9,2060,-29.447496991194722,-0.648805878131713,Random-017,rv2_coarse,random
4,1.31,2079,-9.145621479082646,-0.20057923845409653,Random-017,rv2_coarse,random
5,2.2,2096,27.11446613841152,0.5922504764832124,Random-017,rv2_coarse,random
6,3.93,2088,13.45547546642872,0.29446508098804447,Random-017,rv2_coarse,random
7,4.7,2070,4.459039089331718,0.09800677685379555,Random-017,rv2_coarse,random
8,6.55,2065,-2.605980126387366,-0.05734704857450166,Random-017,rv2_coarse,random
9,9.18,2058,-4.12846020743906,-0.09100503431329139,Random-017,rv2_coarse,random
1,0.45,2072,7.1310679869808515,0.1566605696728552,Random-018,rv2_coarse,random
2,0.7,2111,-1.1260896129662197,-0.02450918307806586,Random-018,rv2_coarse,random
3,0.9,2110,-10.627218901443735,-0.23135473837042306,Random-018,rv2_coarse,random
4,1.31,2120,14.777191655937598,0.32094009406646645,Random-018,rv2_coarse,random
5,2.2,2136,35.67674742514425,0.771941926835877,Random-018,rv2_coarse,random
6,3.93,2119,0.8809980624728584,0.01913856955930293,Random-018,rv2_coarse,random
7,4.7,2122,0.9018912664306505,0.019578593597819,Random-018,rv2_coarse,random
8,6.55,2099,-0.47224214501820383,-0.010307622944814208,Random-018,rv2_coarse,random
9,9.18,2075,-1.0768968608985192,-0.023640957404349294,Random-018,rv2_coarse,random
1,0.45,2447,-3.928047455662877,-0.07940717417820867,Random-019,rv2_coarse,random
2,0.7,2497,-13.44904799814015,-0.26914249393390144,Random-019,rv2_coarse,random
3,0.9,2484,-11.163180818114801,-0.22398150765657418,Random-019,rv2_coarse,random
4,1.31,2489,-14.875688260248253,-0.29817046338878034,Random-019,rv2_coarse,random
5,2.2,2510,5.525226176055326,0.11028417529882255,Random-019,rv2_coarse,random
6,3.93,2499,-7.526394007188929,-0.15055799475449175,Random-019,rv2_coarse,random
7,4.7,2487,-4.213132995632003,-0.08448260097121132,Random-019,rv2_coarse,random
8,6.55,2480,-6.2020109649223665,-0.12453937712727206,Random-019,rv2_coarse,random
9,9.18,2478,-11.69485151166655,-0.23493301973343203,Random-019,rv2_coarse,random
1,0.45,1802,-0.9376174829472037,-0.022087588535867203,Random-020,rv2_coarse,random
2,0.7,1827,4.277880979506454,0.10008279461093003,Random-020,rv2_coarse,random
3,0.9,1820,13.795981430233343,0.3233827926193299,Random-020,rv2_coarse,random
4,1.31,1839,0.807772155773121,0.018836404764427588,Random-020,rv2_coarse,random
5,2.2,1842,10.75609595804662,0.25061661228076937,Random-020,rv2_coarse,random
6,3.93,1836,7.931358602762679,0.18510205817888004,Random-020,rv2_coarse,random
7,4.7,1808,0.03758268470014497,0.0008838703946826827,Random-020,rv2_coarse,random
8,6.55,1795,-4.180343019594913,-0.09866876514534331,Random-020,rv2_coarse,random
9,9.18,1810,-1.6502245573231689,-0.03878856904002291,Random-020,rv2_coarse,random
1,0.45,2208,7.811206728785382,0.16623351852463092,Random-021,rv2_coarse,random
2,0.7,2254,13.261526848535429,0.2793293514498217,Random-021,rv2_coarse,random
3,0.9,2229,55.37924501282591,1.1729837522287527,Random-021,rv2_coarse,random
4,1.31,2243,52.26868799982071,1.1036388047428363,Random-021,rv2_coarse,random
5,2.2,2261,22.765999331397403,0.4787804819692656,Random-021,rv2_coarse,random
6,3.93,2243,-0.07155905660983994,-0.0015109495709109745,Random-021,rv2_coarse,random
7,4.7,2255,4.221319782569594,0.0888945180911502,Random-021,rv2_coarse,random
8,6.55,2228,-1.4277266385998821,-0.030247359593414146,Random-021,rv2_coarse,random
9,9.18,2200,-1.0910139575923234,-0.023260495731265297,Random-021,rv2_coarse,random
1,0.45,1455,10.536862844976298,0.27623571613500664,Random-022,rv2_coarse,random
2,0.7,1472,2.9666215685109956,0.07732291976089378,Random-022,rv2_coarse,random
3,0.9,1473,-4.9821030158945,-0.12981095048404165,Random-022,rv2_coarse,random
4,1.31,1484,5.0912172215827445,0.13216141400313391,Random-022,rv2_coarse,random
5,2.2,1491,6.735407074082526,0.17443154479235065,Random-022,rv2_coarse,random
6,3.93,1490,1.8363056969639389,0.04757204788600762,Random-022,rv2_coarse,random
7,4.7,1478,2.5794842459180125,0.06709585056482302,Random-022,rv2_coarse,random
8,6.55,1481,0.4380313394319832,0.011382237792001386,Random-022,rv2_coarse,random
9,9.18,1458,-2.9524380049618695,-0.07732181238301554,Random-022,rv2_coarse,random
1,0.45,897,8.06443390512338,0.2692636107905978,Random-023,rv2_coarse,random
2,0.7,903,-3.738988678384774,-0.12442575221858232,Random-023,rv2_coarse,random
3,0.9,902,-2.1133617865431007,-0.07036725043932697,Random-023,rv2_coarse,random
4,1.31,907,6.096815913706085,0.20244144970204078,Random-023,rv2_coarse,random
5,2.2,906,4.809174509178918,0.1597741212559421,Random-023,rv2_coarse,random
6,3.93,904,5.128928544965197,0.17058562592911222,Random-023,rv2_coarse,random
7,4.7,895,-0.1981062176755823,-0.006621960542927992,Random-023,rv2_coarse,random
8,6.55,889,-1.8617848317677783,-0.0624422591304157,Random-023,rv2_coarse,random
9,9.18,883,-3.0535073414487544,-0.10275870362809497,Random-023,rv2_coarse,random
1,0.45,2078,-6.688255510416241,-0.1467202588151415,Random-024,rv2_coarse,random
2,0.7,2094,-1.7967550966864287,-0.0392645429744166,Random-024,rv2_coarse,random
3,0.9,2092,-23.697022240349234,-0.5180992171251204,Random-024,rv2_coarse,random
4,1.31,2115,-9.588410993893623,-0.20849298890970225,Random-024,rv2_coarse,random
5,2.2,2102,23.45303349768029,0.5115436147228385,Random-024,rv2_coarse,random
6,3.93,2100,15.136078793269256,0.3302963180712962,Random-024,rv2_coarse,random
7,4.7,2091,7.347543504120833,0.16068123081545435,Random-024,rv2_coarse,random
8,6.55,2069,-2.3400551455869043,-0.051445316895161325,Random-024,rv2_coarse,random
9,9.18,2069,-3.1116973011080766,-0.06840960737152771,Random-024,rv2_coarse,random
