target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-164,random,rv2_coarse,203654,4888496,603026469.4304845,500318718.2824695,-102707751.14801502,-1.8185456994235918,0.06898076858291313
Random-165,random,rv2_coarse,1249092,3843058,597548259.1198075,474159394.829299,-123388864.29050851,-5.012929179108813,5.360763162265414e-07
Random-166,random,rv2_coarse,1093451,3998699,555893103.1794108,490352721.24502116,-65540381.93438965,-2.5048311304009676,0.0122509869569285
Random-167,random,rv2_coarse,19023,5073127,36230667.61426197,506182003.6565906,469951336.0423286,13.561220100065809,0.0
Random-168,random,rv2_coarse,1008057,4084093,484878279.997648,509251346.95874596,24373066.961097956,1.0264094995739161,0.30469860216289124
Random-169,random,rv2_coarse,206550,4885600,512280140.2533577,504094347.20096684,-8185793.052390873,-0.14413564684667782,0.8853933564952232
Random-170,random,rv2_coarse,595,5091555,215426886.73256302,504460155.4253599,289033268.6927969,2.0189090566605206,0.043496672737690645
Random-171,random,rv2_coarse,1189662,3902488,493660395.537199,507708362.5058679,14047966.968668878,0.6058067144328851,0.5446431105332294
Random-172,random,rv2_coarse,874616,4217534,541218839.6717657,496796504.53938586,-44422335.13237983,-1.5106277926220355,0.13088330882223564
Random-173,random,rv2_coarse,245029,4847121,418346792.5403387,508777831.0929329,90431038.55259418,2.0125758153883053,0.044159273351312756
Random-174,random,rv2_coarse,1014055,4078095,580694352.8062906,485461666.22390884,-95232686.58238178,-3.616446866505514,0.00029867459027155263
Random-175,random,rv2_coarse,345565,4746585,423812516.64103055,510295303.5374521,86482786.89642155,2.402220189729388,0.016295896179683966
Random-176,random,rv2_coarse,547610,4544540,691713343.2231808,481858595.53924686,-209854747.6839339,-5.720114831275972,1.0645208492476854e-08
Random-177,random,rv2_coarse,19281,5072869,35736099.33257704,506207784.5738069,470471685.24122983,13.744596487726808,0.0
Random-178,random,rv2_coarse,738,5091412,173660005.8054497,504474327.4694898,330814321.6640401,2.8612506070064816,0.004219733508653567
Random-179,random,rv2_coarse,51489,5040661,165207294.4185148,507891414.8902415,342684120.4717267,7.04672217395072,1.8318679906315083e-12
Random-180,random,rv2_coarse,1157828,3934322,572873496.5515627,484283144.8186172,-88590351.73294544,-3.5694756334491364,0.0003576964841418562
Random-181,random,rv2_coarse,771742,4320408,465902031.37460554,511307876.51473516,45405845.140129626,1.750015024337272,0.08011572124264199
Random-182,random,rv2_coarse,442097,4650053,423114380.565392,512157002.8018083,89042622.23641628,2.6645230312960564,0.0077097586855743305
Random-183,random,rv2_coarse,657,5091493,196487068.91173184,504466119.00479877,307979050.09306693,2.3743229169298385,0.017581167188899016
Random-184,random,rv2_coarse,1121167,3970983,454278990.73375773,518584993.3002432,64306002.566485465,2.8153095387874663,0.0048730272351755755
Random-185,random,rv2_coarse,82627,5009523,533811456.10475165,503941705.92106426,-29869750.18368739,-0.3700874081281298,0.7113173639496584
Random-186,random,rv2_coarse,551,5091599,1155010777.2132487,504355978.2921102,-650654798.9211385,-0.5687439625987614,0.5695299085406516
Random-187,random,rv2_coarse,1277205,3814945,484017544.38868004,511259055.601963,27241511.213282943,1.2145784769500432,0.22452690188384494
Random-188,random,rv2_coarse,450615,4641535,387152895.76955676,515811666.5127325,128658770.74317575,4.140866427133708,3.4599640884591665e-05
Random-189,random,rv2_coarse,23276,5068874,11789910.345293637,506688543.39270973,494898633.0474161,45.6236343824577,0.0
Random-190,random,rv2_coarse,649025,4443125,412447586.24900365,517862092.78134525,105414506.5323416,3.6076327860680135,0.00030900340525619185
Random-191,random,rv2_coarse,867092,4225058,537619217.609719,497614348.2571668,-40004869.352552235,-1.4947937091370873,0.1349682886460275
